Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:20:10 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:24:19 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:20 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:21 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:22 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:23 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:24 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:25 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:26 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:27 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:28 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:29 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:30 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:31 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:32 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:33 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:34 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:35 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:36 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:37 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:38 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:39 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:40 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:41 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:42 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:43 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:44 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:24:45 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
