Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:14:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:17:09 AM     0     30768    0.99    0.99    0.00    0.99    1.98     1  python3
05:17:10 AM     0     30768    0.00    1.00    0.00    1.00    1.00     5  python3
05:17:11 AM     0     30768    1.00    0.00    0.00    0.00    1.00     3  python3
05:17:12 AM     0     30768    1.00    0.00    0.00    0.00    1.00     4  python3
05:17:13 AM     0     30768    0.00    1.00    0.00    1.00    1.00     0  python3
05:17:14 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:17:15 AM     0     30768    0.00    2.00    0.00    0.00    2.00     1  python3
05:17:16 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:17:17 AM     0     30768    1.00    1.00    0.00    1.00    2.00     2  python3
05:17:18 AM     0     30768    0.00    1.00    0.00    0.00    1.00     1  python3
05:17:19 AM     0     30768    0.00    0.00    0.00    0.00    0.00     4  python3
05:17:20 AM     0     30768    1.00    0.00    0.00    0.00    1.00     1  python3
05:17:21 AM     0     30768    0.00    0.99    0.00    0.00    0.99     3  python3
05:17:22 AM     0     30768    0.00    3.00    0.00    1.00    3.00     0  python3
05:17:23 AM     0     30768    0.00    0.00    0.00    0.00    0.00     2  python3
05:17:24 AM     0     30768    0.00    3.00    0.00    0.00    3.00     2  python3
05:17:25 AM     0     30768    1.00    1.00    0.00    1.00    2.00     2  python3
05:17:26 AM     0     30768    0.00    0.99    0.00    0.00    0.99     4  python3
05:17:27 AM     0     30768    0.00    4.00    0.00    1.00    4.00     1  python3
05:17:28 AM     0     30768    0.00    1.00    0.00    1.00    1.00     4  python3
05:17:29 AM     0     30768    0.00    1.00    0.00    0.00    1.00     1  python3
05:17:30 AM     0     30768    0.00    1.98    0.00    0.00    1.98     0  python3
05:17:31 AM     0     30768    1.00    1.00    0.00    0.00    2.00     2  python3
05:17:32 AM     0     30768    0.00    0.00    0.00    0.00    0.00     2  python3
05:17:33 AM     0     30768    0.00    1.00    0.00    0.00    1.00     1  python3
05:17:34 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:17:35 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:17:36 AM     0     30768    0.99    1.98    0.00    0.00    2.97     5  python3
05:17:37 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:17:38 AM     0     30768    0.00    1.00    0.00    1.00    1.00     4  python3
05:17:39 AM     0     30768    0.00    0.99    0.00    0.00    0.99     0  python3
05:17:40 AM     0     30768    1.00    0.00    0.00    1.00    1.00     1  python3
05:17:41 AM     0     30768    0.00    1.00    0.00    0.00    1.00     1  python3
05:17:42 AM     0     30768    1.00    0.00    0.00    0.00    1.00     3  python3
05:17:43 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:17:44 AM     0     30768    1.00    0.00    0.00    0.00    1.00     0  python3
05:17:45 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:17:46 AM     0     30768    0.00    0.00    0.00    0.00    0.00     2  python3
05:17:47 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:17:48 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:17:49 AM     0     30768    2.00    1.00    0.00    1.00    3.00     2  python3
05:17:50 AM     0     30768    0.00    4.00    0.00    0.00    4.00     2  python3
05:17:51 AM     0     30768    0.00    0.00    0.00    1.00    0.00     3  python3
05:17:52 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:17:53 AM     0     30768    0.00    1.00    0.00    0.00    1.00     3  python3
05:17:54 AM     0     30768    2.00    0.00    0.00    0.00    2.00     4  python3
05:17:55 AM     0     30768    1.00    1.00    0.00    1.00    2.00     0  python3
05:17:56 AM     0     30768    0.00    2.00    0.00    0.00    2.00     5  python3
